Relative Path,COLUMN_1,COLUMN_2,COLUMN_3
p30156/Proteomics/LUMOS_2/analytic_20230103/20230103_C30156_009_S430428_PWT10_AT_Adipose_Tissue.raw,,,DIA
p30156/Proteomics/LUMOS_2/analytic_20230103/20230103_C30156_052_S430415_PWT7_T_Tumor.raw,,,DIA
p30156/Proteomics/LUMOS_2/analytic_20230103/20230103_C30156_064_S430436_PWT13_SM_Skeletal_Muscle.raw,,,DIA
p30156/Proteomics/LUMOS_2/analytic_20230103/20230103_C30156_003_S430459_PWT30_T_Tumor.raw,,,DIA
p30156/Proteomics/LUMOS_2/analytic_20230103/20230103_C30156_040_S430427_PWT10_T_Tumor.raw,,,DIA
p30156/Proteomics/LUMOS_2/analytic_20230103/20230103_C30156_007_S430430_PWT11_T_Tumor.raw,,,DIA
p30156/Proteomics/LUMOS_2/analytic_20230103/20230103_C30156_018_S430407_PWT1_T_Tumor.raw,,,DIA
p30156/Proteomics/LUMOS_2/analytic_20230103/20230103_C30156_047_S430447_PWT26_T_Tumor.raw,,,DIA
p30156/Proteomics/LUMOS_2/analytic_20230103/20230103_C30156_008_S430434_PWT12_CT_Connective_Tissue.raw,,,DIA
p30156/Proteomics/LUMOS_2/analytic_20230103/20230103_C30156_058_S430437_PWT13_AT_Adipose_Tissue.raw,,,DIA
p30156/Proteomics/LUMOS_2/analytic_20230103/20230103_C30156_016_S430441_PWT20_T_Tumor.raw,,,DIA
p30156/Proteomics/LUMOS_2/analytic_20230103/20230103_C30156_071_S430414_PWT6_CT_Connective_Tissue.raw,,,DIA
p30156/Proteomics/LUMOS_2/analytic_20230103/20230103_C30156_002_S430454_PWT28_AT_Adipose_Tissue.raw,,,DIA
p30156/Proteomics/LUMOS_2/analytic_20230103/20230103_C30156_051_S430438_PWT14_T_Tumor.raw,,,DIA
p30156/Proteomics/LUMOS_2/analytic_20230103/20230103_C30156_042_S430452_PWT27_CT_Connective_Tissue.raw,,,DIA
p30156/Proteomics/LUMOS_2/analytic_20230103/20230103_C30156_072_S430411_PWT5_T_Tumor.raw,,,DIA
p30156/Proteomics/LUMOS_2/analytic_20230103/20230103_C30156_030_S430433_PWT12_AT_Adipose_Tissue.raw,,,DIA
p30156/Proteomics/LUMOS_2/analytic_20230103/20230103_C30156_070_S430444_PWT20_CT_Connective_Tissue.raw,,,DIA
p30156/Proteomics/LUMOS_2/analytic_20230103/20230103_C30156_019_S430435_PWT13_T_Tumor.raw,,,DIA
p30156/Proteomics/LUMOS_2/analytic_20230103/20230103_C30156_036_S430431_PWT11_CT_Connective_Tissue.raw,,,DIA
p30156/Proteomics/LUMOS_2/analytic_20230103/20230103_C30156_069_S430424_PWT9_SM_Skeletal_Muscle.raw,,,DIA
p30156/Proteomics/LUMOS_2/analytic_20230103/20230103_C30156_048_S430448_PWT26_AT_Adipose_Tissue.raw,,,DIA
p30156/Proteomics/LUMOS_2/analytic_20230103/20230103_C30156_038_S430451_PWT27_AT_Adipose_Tissue.raw,,,DIA
p30156/Proteomics/LUMOS_2/analytic_20230103/20230103_C30156_010_S430446_PWT21_CT_Connective_Tissue.raw,,,DIA
p30156/Proteomics/LUMOS_2/analytic_20230103/20230103_C30156_054_S430416_PWT7_SM_Skeletal_Muscle.raw,,,DIA
p30156/Proteomics/LUMOS_2/analytic_20230103/20230103_C30156_031_S430440_PWT14_SM_Skeletal_Muscle.raw,,,DIA
p30156/Proteomics/LUMOS_2/analytic_20230103/20230103_C30156_037_S430456_PWT29_T_Tumor.raw,,,DIA
p30156/Proteomics/LUMOS_2/analytic_20230103/20230103_C30156_060_S430450_PWT27_T_Tumor.raw,,,DIA
p30156/Proteomics/LUMOS_2/analytic_20230103/20230103_C30156_027_S430457_PWT29_AT_Adipose_Tissue.raw,,,DIA
p30156/Proteomics/LUMOS_2/analytic_20230103/20230103_C30156_065_S430417_PWT7_AT_Adipose_Tissue.raw,,,DIA
p30156/Proteomics/LUMOS_2/analytic_20230103/20230103_C30156_025_S430455_PWT28_CT_Connective_Tissue.raw,,,DIA
p30156/Proteomics/LUMOS_2/analytic_20230103/20230103_C30156_049_S430458_PWT29_CT_Connective_Tissue.raw,,,DIA
p30156/Proteomics/LUMOS_2/analytic_20230103/20230103_C30156_043_S430410_PWT2_AT_Adipose_Tissue.raw,,,DIA
p30156/Proteomics/LUMOS_2/analytic_20230103/20230103_C30156_004_S430418_PWT7_CT_Connective_Tissue.raw,,,DIA
p30156/Proteomics/LUMOS_2/analytic_20230103/20230103_C30156_032_S430421_PWT8_AT_Adipose_Tissue.raw,,,DIA
p30156/Proteomics/LUMOS_2/analytic_20230103/20230103_C30156_059_S430449_PWT26_CT_Connective_Tissue.raw,,,DIA
p30156/Proteomics/LUMOS_2/analytic_20230103/20230103_C30156_063_S430442_PWT20_SM_Skeletal_Muscle.raw,,,DIA
p30156/Proteomics/LUMOS_2/analytic_20230103/20230103_C30156_024_S430412_PWT5_CT_Connective_Tissue.raw,,,DIA
p30156/Proteomics/LUMOS_2/analytic_20230103/20230103_C30156_021_S430460_PWT30_SM_Skeletal_Muscle.raw,,,DIA
p30156/Proteomics/LUMOS_2/analytic_20230103/20230103_C30156_015_S430432_PWT12_T_Tumor.raw,,,DIA
p30156/Proteomics/LUMOS_2/analytic_20230103/20230103_C30156_005_S430445_PWT21_T_Tumor.raw,,,DIA
p30156/Proteomics/LUMOS_2/analytic_20230103/20230103_C30156_041_S430422_PWT8_CT_Connective_Tissue.raw,,,DIA
p30156/Proteomics/LUMOS_2/analytic_20230103/20230103_C30156_026_S430409_PWT2_T_Tumor.raw,,,DIA
p30156/Proteomics/LUMOS_2/analytic_20230103/20230103_C30156_046_S430408_PWT1_CT_Connective_Tissue.raw,,,DIA
p30156/Proteomics/LUMOS_2/analytic_20230103/20230103_C30156_020_S430420_PWT8_SM_Skeletal_Muscle.raw,,,DIA
p30156/Proteomics/LUMOS_2/analytic_20230103/20230103_C30156_066_S430453_PWT28_T_Tumor.raw,,,DIA
p30156/Proteomics/LUMOS_2/analytic_20230103/20230103_C30156_053_S430443_PWT20_AT_Adipose_Tissue.raw,,,DIA
p30156/Proteomics/LUMOS_2/analytic_20230103/20230103_C30156_013_S430439_PWT14_AT_Adipose_Tissue.raw,,,DIA
p30156/Proteomics/LUMOS_2/analytic_20230103/20230103_C30156_075_S430429_PWT10_CT_Connective_Tissue.raw,,,DIA
p30156/Proteomics/LUMOS_2/analytic_20230103/20230103_C30156_035_S430426_PWT9_CT_Connective_Tissue.raw,,,DIA
p30156/Proteomics/LUMOS_2/analytic_20230103/20230103_C30156_057_S430419_PWT8_T_Tumor.raw,,,DIA
p30156/Proteomics/LUMOS_2/analytic_20230103/20230103_C30156_029_S430413_PWT6_T_Tumor.raw,,,DIA
p30156/Proteomics/LUMOS_2/analytic_20230103/20230103_C30156_014_S430425_PWT9_AT_Adipose_Tissue.raw,,,DIA
p30156/Proteomics/LUMOS_2/analytic_20230103/20230103_C30156_074_S430423_PWT9_T_Tumor.raw,,,DIA
